City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,15.1,88,100,15.22,NZ,1747521044
1,port elizabeth,-33.918,25.5701,19.62,99,71,1.34,ZA,1747521045
2,kolin,50.0281,15.2006,7.91,87,100,3.13,CZ,1747521046
3,mbandjok,4.45,11.9,21.03,98,100,0.42,CM,1747521047
4,fereydun kenar,36.6864,52.5225,17.28,83,0,3.75,IR,1747521048
5,codrington,-38.2667,141.9667,11.28,47,91,5.91,AU,1747521049
6,kyzyl-kyya,40.2568,72.1279,20.41,55,96,2.6,KG,1747521050
7,taoudenni,22.6783,-3.9836,32.48,10,59,5.43,ML,1747521051
8,quiindy,-25.9667,-57.2667,24.38,66,100,2.81,PY,1747521052
9,ciudad lazaro cardenas,17.9583,-102.2,29.14,58,11,3.9,MX,1747521053
10,udachny,66.4167,112.4,-1.81,87,94,3.11,RU,1747521056
11,ad dabbah,18.05,30.95,32.74,9,1,3.06,SD,1747521057
12,jimo,36.3897,120.4622,16.85,33,100,2.62,CN,1747521058
13,tiksi,71.6872,128.8694,-6.72,95,95,1.99,RU,1747520898
14,puerto natales,-51.7236,-72.4875,0.75,87,98,2.1,CL,1747521060
15,talnakh,69.4865,88.3972,-2.51,84,11,4.3,RU,1747520862
16,cidreira,-30.1811,-50.2056,22.37,82,100,5.24,BR,1747521063
17,port-aux-francais,-49.35,70.2167,4.24,73,100,14.6,TF,1747520995
18,anadyr,64.75,177.4833,1.67,92,100,2.68,RU,1747521065
19,bredasdorp,-34.5322,20.0403,16.22,82,96,1.97,ZA,1747521066
20,ushuaia,-54.8,-68.3,-1.59,94,73,1.59,AR,1747521067
21,valparaiso,-33.0393,-71.6273,16.19,85,100,2.03,CL,1747521018
22,bhamo,24.2667,97.2333,22.26,99,98,0.48,MM,1747521070
23,bilibino,68.0546,166.4372,-2.37,72,48,3.14,RU,1747521071
24,fale old settlement,-9.3852,-171.2468,28.85,76,74,5.96,TK,1747521072
25,tura,25.5198,90.2201,21.78,99,100,3.23,IN,1747520990
26,saldanha,-33.0117,17.9442,16.8,71,99,3.79,ZA,1747521074
27,rio branco,-9.9747,-67.81,24.63,85,66,1.74,BR,1747521036
28,minas de marcona,-15.2119,-75.1103,14.68,87,65,6.69,PE,1747521076
29,west island,-12.1568,96.8225,27.78,83,89,6.1,CC,1747521077
30,orchard homes,46.8633,-114.0484,19.99,43,94,2.68,US,1747521078
31,ribeira grande,38.5167,-28.7,17.65,92,77,2.24,PT,1747521080
32,aykhal,66.0,111.5,-3.16,90,94,2.18,RU,1747521081
33,jamestown,42.097,-79.2353,13.34,77,90,4.92,US,1747521029
34,iqaluit,63.7506,-68.5145,-4.61,85,100,4.47,CA,1747521013
35,college,64.8569,-147.8028,15.65,31,6,1.79,US,1747521084
36,raton,36.9034,-104.4391,21.01,15,92,4.25,US,1747521085
37,ilulissat,69.2167,-51.1,-0.49,95,55,1.89,GL,1747521086
38,senanga,-16.1167,23.2667,16.35,57,5,2.43,ZM,1747521088
39,edinburgh of the seven seas,-37.0676,-12.3116,12.7,67,80,6.29,SH,1747520969
40,kone,-21.0595,164.8658,28.09,56,40,3.97,NC,1747521090
41,blackmans bay,-43.0167,147.3167,2.63,89,8,0.89,AU,1747521091
42,longyearbyen,78.2186,15.6401,-4.0,79,84,2.28,SJ,1747521006
43,rahimah,26.7079,50.0619,27.93,34,0,8.09,SA,1747521093
44,daru,-9.0763,143.2092,26.92,86,100,3.01,PG,1747521094
45,albany,42.6001,-73.9662,22.01,65,49,3.58,US,1747520971
46,afaahiti,-17.75,-149.2833,25.95,77,100,3.04,PF,1747521098
47,chernyshevskiy,63.0128,112.4714,0.87,72,41,1.65,RU,1747521100
48,leiyang,26.4024,112.8591,23.5,97,100,0.98,CN,1747521101
49,mili,6.0815,171.735,27.78,81,100,8.7,MH,1747521102
50,rongelap,11.1635,166.8941,27.47,78,68,7.07,MH,1747521104
51,sinabang,2.4803,96.3801,26.2,86,5,2.04,ID,1747521105
52,susuman,62.7833,148.1667,1.79,63,23,2.05,RU,1747521106
53,utrik,11.2278,169.8474,27.28,80,93,7.44,MH,1747521107
54,pariaman,-0.619,100.12,25.76,83,87,1.79,ID,1747521108
55,siliana,36.085,9.3708,15.79,74,2,2.47,TN,1747521109
56,iskateley,67.6803,53.1512,-3.04,86,63,4.64,RU,1747521110
57,badger,64.8,-147.5333,15.56,26,4,0.45,US,1747521111
58,spring creek,40.7266,-115.5859,7.12,87,100,4.27,US,1747521113
59,stanley,54.868,-1.6985,8.46,87,34,3.96,GB,1747521114
60,hithadhoo,-0.6,73.0833,28.63,76,100,6.01,MV,1747521115
61,murzuq,25.9155,13.9184,29.84,19,100,4.7,LY,1747520882
62,taihecun,45.8,130.85,10.63,58,20,6.53,CN,1747521117
63,nemuro,43.3236,145.575,7.72,100,100,5.19,JP,1747521118
64,bethel,41.3712,-73.414,25.08,74,74,0.89,US,1747521119
65,yigo village,13.5361,144.8886,28.74,83,24,7.16,GU,1747521120
66,invercargill,-46.4,168.35,8.34,84,99,1.79,NZ,1747521072
67,rockport,28.0206,-97.0544,29.45,84,34,8.45,US,1747521122
68,kodiak,57.79,-152.4072,7.21,87,100,2.04,US,1747521123
69,saint-joseph,-21.3667,55.6167,23.25,72,21,4.68,RE,1747521124
70,victorica,-36.2151,-65.4359,14.63,25,40,12.22,AR,1747521126
71,adamstown,-25.066,-130.1015,24.06,72,12,2.32,PN,1747521127
72,traversetolo,44.6422,10.3772,13.52,71,7,3.91,IT,1747521128
73,keflavik,64.0049,-22.5624,10.33,75,0,6.0,IS,1747521129
74,byron bay,-28.65,153.6167,18.02,90,45,4.67,AU,1747521130
75,yellowknife,62.456,-114.3525,14.67,49,98,8.05,CA,1747520930
76,bugana,7.9992,7.5836,25.0,83,52,1.08,NG,1747521133
77,jiuquan,39.7432,98.5174,19.52,21,2,2.66,CN,1747521134
78,prince rupert,54.3161,-130.3201,8.75,87,99,2.58,CA,1747520982
79,bakal,54.9417,58.8083,4.4,91,46,1.23,RU,1747521136
80,gamboma,-1.8764,15.8644,23.53,90,96,1.65,CG,1747521138
81,papatowai,-46.5619,169.4708,8.25,81,94,6.48,NZ,1747521139
82,nantucket,41.2835,-70.0995,13.41,95,100,7.85,US,1747521141
83,esikhaleni,-28.871,31.8996,20.0,60,20,2.25,ZA,1747521142
84,wailua homesteads,22.0669,-159.378,25.63,83,48,1.79,US,1747521143
85,whitehorse,60.7161,-135.0538,12.28,41,100,3.58,CA,1747521144
86,ozernyy,55.5802,32.4127,10.22,98,100,2.66,RU,1747521145
87,enoch,37.7733,-113.0244,18.41,29,100,4.92,US,1747520987
88,ust-nera,64.5667,143.2,2.72,62,13,2.58,RU,1747521148
89,avarua,-21.2078,-159.775,24.6,81,40,5.51,CK,1747521017
90,inari,68.906,27.0288,-1.17,95,45,1.04,FI,1747520915
91,fochville,-26.4886,27.4939,13.24,46,50,0.69,ZA,1747521151
92,remire-montjoly,4.9167,-52.2667,24.97,91,100,4.06,GF,1747521152
93,sisimiut,66.9395,-53.6735,2.97,93,94,1.04,GL,1747521153
94,hamilton,39.1834,-84.5333,19.4,59,97,4.94,US,1747521154
95,ancud,-41.8697,-73.8203,7.85,71,63,7.0,CL,1747521155
96,olonkinbyen,70.9221,-8.7187,2.14,88,82,9.59,SJ,1747521156
97,turaif,31.6725,38.6637,27.56,16,71,3.52,SA,1747521157
98,rikaze,29.25,88.8833,6.28,78,100,2.4,CN,1747521158
99,east london,-33.0153,27.9116,20.16,84,96,1.24,ZA,1747521159
100,happy valley-goose bay,53.3168,-60.3315,4.59,71,88,1.38,CA,1747521010
101,greymouth,-42.4667,171.2,13.58,84,99,5.42,NZ,1747521162
102,savanna-la-mar,18.219,-78.1332,29.96,80,45,1.65,JM,1747521163
103,liphook,51.0772,-0.8032,11.14,79,0,1.86,GB,1747521164
104,vorkuta,67.5,64.0,-6.62,96,94,3.99,RU,1747521165
105,nkhotakota,-12.9274,34.2961,21.02,77,57,2.45,MW,1747521166
106,shitanjing,39.2342,106.3439,13.98,21,5,2.47,CN,1747521167
107,bhilwara,25.35,74.6333,31.05,49,1,4.77,IN,1747521170
108,sao gabriel da cachoeira,-0.1303,-67.0892,23.09,99,99,1.37,BR,1747521171
109,tamandare,-8.7597,-35.1047,24.9,89,74,5.28,BR,1747521172
110,okhotsk,59.3833,143.3,5.08,74,99,5.86,RU,1747521173
111,aasiaat,68.7098,-52.8699,0.02,94,98,0.74,GL,1747521174
112,quellon,-43.1167,-73.6167,6.81,70,44,6.3,CL,1747520920
113,callao,-12.0667,-77.15,19.52,87,79,5.26,PE,1747520954
114,boende,-0.2167,20.8667,23.34,87,90,1.15,CD,1747521177
115,brookings,44.3114,-96.7984,12.32,54,2,2.68,US,1747520972
116,pakruojis,55.9667,23.8667,8.48,99,100,1.33,LT,1747521179
117,port alfred,-33.5906,26.891,20.74,83,93,4.12,ZA,1747521180
118,georgetown,5.4112,100.3354,27.75,100,100,0.45,MY,1747521181
119,papao,-17.75,-149.55,29.81,74,100,3.15,PF,1747521182
120,qaqortoq,60.7167,-46.0333,4.54,86,82,1.17,GL,1747521183
121,pangody,65.85,74.4859,-0.53,95,100,4.9,RU,1747521123
122,dwarka,22.2394,68.9678,28.38,77,91,5.35,IN,1747521185
123,sitka,57.0531,-135.33,9.02,78,99,2.47,US,1747521186
124,saipan,15.1355,145.701,29.8,77,13,4.47,MP,1747521188
125,salinas,36.6777,-121.6555,17.13,83,93,4.47,US,1747521091
126,carnarvon,-24.8667,113.6333,19.46,36,0,6.37,AU,1747521190
127,dudinka,69.4058,86.1778,1.51,79,33,6.36,RU,1747521123
128,chandler,33.3062,-111.8412,34.92,10,32,3.13,US,1747520964
129,pangai,-19.8,-174.35,25.12,75,12,8.48,TO,1747521194
130,inhambane,-23.865,35.3833,21.87,86,4,0.87,MZ,1747521195
131,nagqu,31.5,92.0,1.8,54,100,4.04,CN,1747521139
132,chonchi,-42.6128,-73.8092,5.62,80,62,3.0,CL,1747521198
133,xilin hot,43.9667,116.0333,6.01,29,26,4.19,CN,1747521199
134,thompson,55.7435,-97.8558,7.38,38,96,3.16,CA,1747521055
135,grytviken,-54.2811,-36.5092,-1.01,81,39,1.91,GS,1747521202
136,trincomalee,8.5711,81.2335,26.86,85,96,7.22,LK,1747521203
137,kandahar,31.0,65.75,24.61,13,0,4.71,AF,1747521204
138,diapaga,12.0708,1.7889,29.69,53,80,2.33,BF,1747521205
139,puerto quijarro,-17.7833,-57.7667,25.8,44,1,1.21,BO,1747521206
140,semey,50.4111,80.2275,23.25,29,37,1.86,KZ,1747521207
141,pierre,44.3683,-100.351,16.27,51,6,3.13,US,1747521208
142,enewetak,11.3474,162.3373,27.83,78,85,6.64,MH,1747521209
143,broome,42.2506,-75.833,17.47,90,69,4.02,US,1747520995
144,al hufuf,25.3646,49.5653,26.84,12,0,5.94,SA,1747521212
145,alofi,-19.0595,-169.9187,25.03,78,99,7.75,NU,1747521213
146,kudymkar,59.0173,54.656,7.81,77,48,1.36,RU,1747521214
147,caxias,38.7031,-9.2767,18.6,79,4,1.34,PT,1747521215
148,mildura,-34.2,142.15,9.08,63,1,7.2,AU,1747521216
149,skelleftea,64.7507,20.9528,5.59,79,2,2.97,SE,1747521217
150,grajau,-5.8194,-46.1386,24.75,67,86,1.58,BR,1747521218
151,vernon,50.2581,-119.2691,16.63,54,99,2.24,CA,1747521219
152,petropavlovsk-kamchatsky,53.0452,158.6483,8.27,62,37,4.7,RU,1747521147
153,qianzhou,28.3167,109.7167,20.26,88,100,1.66,CN,1747521222
154,nha trang,12.25,109.1833,25.66,82,85,1.8,VN,1747521223
155,baiyin,36.5583,104.2081,15.92,39,5,2.87,CN,1747521224
156,siesta key,27.302,-82.5515,30.63,58,33,3.58,US,1747521225
157,vilyuchinsk,52.9306,158.4028,8.06,67,47,3.72,RU,1747521226
158,tazovsky,67.4667,78.7,0.55,99,100,2.3,RU,1747521123
159,kasongo-lunda,-6.4667,16.8167,22.78,80,60,1.02,CD,1747521228
160,chibougamau,49.9168,-74.3659,14.53,88,100,3.76,CA,1747521229
161,faya-largeau,17.9257,19.1043,33.64,12,1,5.33,TD,1747521230
162,margate,51.3813,1.3862,9.83,86,0,4.71,GB,1747520979
163,yuzhno-kurilsk,44.0306,145.8556,7.55,99,100,3.22,RU,1747521232
164,touros,-5.1989,-35.4608,25.08,87,98,5.88,BR,1747521234
165,petukhovo,55.0692,67.9019,9.61,77,99,4.73,RU,1747521235
166,kourou,5.1552,-52.6478,23.83,96,100,2.55,GF,1747521236
167,vorgashor,67.5833,63.95,-6.55,96,95,4.26,RU,1747521237
168,uturoa,-16.7333,-151.4333,27.31,77,100,4.65,PF,1747521238
169,placido de castro,-10.3353,-67.1856,26.55,76,91,1.43,BR,1747521241
170,road town,18.4167,-64.6167,24.93,80,100,7.03,VG,1747521242
171,labytnangi,66.6572,66.4183,-3.77,86,100,3.82,RU,1747521243
172,la sarre,48.8002,-79.1996,13.06,92,100,9.03,CA,1747521061
173,zouerate,22.7187,-12.4521,26.27,25,100,5.09,MR,1747521245
174,margaret river,-33.95,115.0667,13.65,73,0,4.01,AU,1747521246
175,luganville,-15.5333,167.1667,27.82,83,71,4.78,VU,1747521247
176,les cayes,18.2,-73.75,27.43,73,59,1.82,HT,1747521248
177,kerema,-7.9631,145.7785,27.03,86,69,3.0,PG,1747521249
178,ugoofaaru,5.6667,73.0,28.87,76,100,7.19,MV,1747521250
179,gaspe,48.8334,-64.4819,7.11,71,100,2.25,CA,1747521251
180,itapaci,-14.9508,-49.5494,24.15,54,48,3.12,BR,1747521253
181,punta arenas,-53.15,-70.9167,0.62,74,56,3.95,CL,1747521254
182,puerto ayora,-0.7393,-90.3518,25.11,81,65,3.43,EC,1747521255
183,praia da vitoria,38.7333,-27.0667,14.97,88,70,2.67,PT,1747521256
184,howrah,22.5892,88.3103,29.03,79,1,3.99,IN,1747521257
185,isla mujeres,21.2311,-86.731,30.09,75,0,5.2,MX,1747521258
186,agat village,13.3886,144.6585,29.64,84,13,1.34,GU,1747521259
187,labrador city,52.9463,-66.9114,4.06,96,100,3.29,CA,1747521260
188,xai-xai,-25.0519,33.6442,20.19,91,0,2.54,MZ,1747521261
189,al ghayzah,16.2079,52.176,26.82,83,20,1.48,YE,1747521262
190,polyarnyy,69.1989,33.4478,1.7,79,86,6.19,RU,1747521142
191,buala,-8.145,159.5921,28.97,76,89,0.46,SB,1747521264
192,mugia,43.1041,-9.2179,16.06,70,69,2.24,ES,1747521266
193,taroa,8.7058,171.2275,27.85,79,58,7.95,MH,1747521267
194,constantia,44.1833,28.65,8.17,93,53,4.41,RO,1747521268
195,plunge,55.9114,21.8442,7.25,96,97,2.58,LT,1747521269
196,mil'kovo,55.6078,37.7956,15.75,57,100,5.35,RU,1747521270
197,lebu,-37.6167,-73.65,10.76,67,28,2.26,CL,1747521271
198,selfoss,63.9331,-20.9971,12.25,75,0,1.03,IS,1747521272
199,arraial do cabo,-22.9661,-42.0278,23.98,77,0,9.75,BR,1747521249
200,ola,59.5833,151.2833,6.11,45,9,5.16,RU,1747521183
201,luderitz,-26.6481,15.1594,20.77,53,30,0.68,NA,1747521276
202,banjarmasin,-3.3244,114.591,23.77,98,100,1.16,ID,1747520996
203,vila franca do campo,37.7167,-25.4333,18.27,7,55,1.42,PT,1747521278
204,olyokminsk,60.3736,120.4264,3.02,75,100,3.9,RU,1747521279
205,kidal,18.4411,1.4078,33.99,17,13,4.81,ML,1747521280
206,shimoda,34.6667,138.95,21.49,97,100,7.8,JP,1747521281
207,ilhabela,-23.7781,-45.3581,20.62,84,30,2.14,BR,1747521043
208,port mathurin,-19.6833,63.4167,25.48,72,20,11.31,MU,1747521283
209,price,39.5994,-110.8107,18.25,34,96,7.83,US,1747521213
210,palmer,42.1584,-72.3287,24.39,77,23,2.3,US,1747521163
211,tadine,-21.55,167.8833,25.67,76,41,5.0,NC,1747521286
212,krasnyy yar,46.5331,48.3456,15.21,58,74,2.69,RU,1747521287
213,midvagur,62.0511,-7.1939,7.0,93,44,1.48,FO,1747521288
214,corner brook,48.9667,-57.9484,7.99,61,46,0.96,CA,1747521289
215,sur,22.5667,59.5289,29.45,64,0,1.58,OM,1747521290
216,alotau,-10.3069,150.4462,28.9,76,54,0.87,PG,1747521291
217,gulf shores,30.246,-87.7008,30.24,70,11,4.9,US,1747521293
218,prado,-17.3411,-39.2208,22.65,87,54,4.28,BR,1747521294
219,dongcun,36.7767,121.1597,14.91,44,100,2.16,CN,1747521295
220,penarroya-pueblonuevo,38.3,-5.2667,15.4,45,1,2.42,ES,1747521296
221,klyuchi,52.2667,79.1667,17.91,72,96,5.47,RU,1747521297
222,drezdenko,52.8383,15.8308,7.34,87,77,5.86,PL,1747521298
223,kijang,35.2442,129.2139,16.73,83,100,0.83,KR,1747521300
224,hawaiian paradise park,19.5933,-154.9731,23.74,93,30,0.45,US,1747521301
225,tromso,69.6496,18.957,2.97,83,9,0.32,NO,1747521302
226,itoman,26.1247,127.6694,28.38,86,70,4.6,JP,1747521303
227,kalmunai,7.4167,81.8167,26.64,81,100,1.18,LK,1747521304
228,juba,4.8517,31.5825,22.0,82,78,1.24,SS,1747521305
229,erdenet,49.0333,104.0833,3.8,52,100,1.2,MN,1747520975
230,saint-jean-de-luz,43.3891,-1.6581,14.95,85,51,2.16,FR,1747521308
231,caconda,-13.7333,15.0667,15.73,68,70,1.69,AO,1747521309
232,mount isa,-20.7333,139.5,17.18,40,0,9.43,AU,1747521310
233,ruidoso,33.3317,-105.673,21.69,12,11,12.59,US,1747521311
234,joao pinheiro,-17.7425,-46.1725,22.84,47,58,3.77,BR,1747521132
235,coalville,52.7167,-1.3667,10.15,81,0,2.05,GB,1747521314
236,cabo san lucas,22.8909,-109.9124,25.55,48,8,7.54,MX,1747521315
237,isafjordur,66.0755,-23.124,11.64,62,0,1.59,IS,1747521316
238,puerto baquerizo moreno,-0.9,-89.6,24.83,84,29,3.7,EC,1747521318
239,worbis,51.4167,10.3667,10.19,92,98,4.74,DE,1747521319
240,cabedelo,-6.9811,-34.8339,26.14,79,82,6.18,BR,1747521221
241,lata,40.1629,-8.3327,12.49,81,34,0.8,PT,1747521322
242,tolanaro,-25.0319,46.9987,21.42,92,1,4.73,MG,1747521323
243,pacific grove,36.6177,-121.9166,16.05,90,98,4.02,US,1747521261
244,vigia,-0.8583,-48.1417,24.69,94,100,2.61,BR,1747521326
245,longquan,24.6719,102.1613,18.3,94,98,0.74,CN,1747521327
246,hami,42.8,93.45,24.73,20,6,3.63,CN,1747521328
247,pechora,65.1472,57.2244,-1.95,94,94,2.92,RU,1747521329
248,huarmey,-10.0681,-78.1522,20.72,83,62,4.64,PE,1747521330
249,yulinshi,38.2906,109.7494,14.31,19,2,2.1,CN,1747521331
250,mandimba,-14.3548,35.6515,18.41,90,87,1.14,MZ,1747521332
251,topeka,39.0483,-95.678,26.61,34,35,1.34,US,1747521293
252,fuglafjordur,62.244,-6.814,8.04,93,21,2.3,FO,1747521334
253,santo domingo,18.5001,-69.9886,26.04,78,78,2.09,DO,1747521029
254,pisco,-13.7,-76.2167,19.45,88,62,2.46,PE,1747521249
255,dabakala,8.3667,-4.4333,24.73,83,91,2.11,CI,1747521337
256,mount pearl,47.5166,-52.7813,5.74,65,3,0.45,CA,1747521338
257,tralee,52.2704,-9.7026,10.6,91,5,1.2,IE,1747521340
258,pimenta bueno,-11.6725,-61.1936,23.73,80,63,1.37,BR,1747521341
259,monrovia,6.3005,-10.7969,26.13,84,93,4.5,LR,1747521315
260,tutong,4.8,114.65,24.12,94,100,1.89,BN,1747521344
261,bel ombre,-4.6167,55.4167,28.0,78,45,3.58,SC,1747521346
262,novyy turtkul',41.55,61.0167,18.24,59,0,4.7,UZ,1747521348
263,zholymbet,51.7433,71.7122,13.95,95,100,6.34,KZ,1747521349
264,guercif,34.2257,-3.3536,21.98,39,85,6.1,MA,1747521350
265,krasnaya gora,52.9995,31.6023,10.51,99,100,2.1,RU,1747521352
266,zara,44.1197,15.2422,13.28,63,1,3.42,HR,1747521086
267,paramonga,-10.6667,-77.8333,20.03,85,75,4.09,PE,1747521354
268,st. john's,47.5649,-52.7093,6.2,66,3,1.34,CA,1747521355
269,kolonia town,6.964,158.206,28.89,82,100,1.79,FM,1747521356
270,saint-pierre,-21.3393,55.4781,23.84,73,11,3.48,RE,1747521113
271,atafu village,-8.5421,-172.5159,28.76,77,100,5.88,TK,1747521333
272,alaior,39.9303,4.1404,17.22,78,28,2.72,ES,1747521360
